r,sigma,Df,A,W,p,Q,S,CS,PiAI,Roy
0.13365,1.0,4.972363945977856,367.7611987833921,81893.99766059667,5.084526832419778,0.4348641150491275,2.21107826142377,80245.42761443405,1949.28164245589,300.71159636893833
0.13464,1.0,4.97379279654502,367.8140346235099,81912.36455409462,5.090994496503203,0.434919712382502,2.2141738621600737,80265.94766579382,1949.7801052419572,303.36321689213406
0.13563,1.0,4.975225653025376,367.86701097311,81930.7828977081,5.09747871769676,0.434975458339824,2.217278141607647,80286.52520562877,1950.2799645092025,306.0222723907391
0.13662,1.0,4.976662532342748,367.9201283970785,81949.25290876238,5.103979560002659,0.43503135352167377,2.220391136334914,80307.1604767685,1950.7812261563217,308.68879417808694
0.13761,1.0,4.978103451573411,367.973387465448,81967.77480665472,5.11049708778439,0.43508739853436884,2.2235128831415785,80327.85372433167,1951.2838961376135,311.36281374725706
0.1386,1.0,4.979548427641187,368.0267887421244,81986.34880832501,5.117031365612038,0.4351435939766334,2.2266434189235826,80348.60519080503,1951.787980343444,314.04436275319404
0.13959,1.0,4.98099747769859,368.08033279897154,82004.97513391508,5.123582458459509,0.43519994045624955,2.229782780844263,80369.41512219254,1952.293484749618,316.7334730375044
0.14058,1.0,4.98245061905061,368.1340202129879,82023.65400563474,5.130150431667465,0.4352564385867151,2.23293100630168,80390.28376678369,1952.8004153874597,319.4301766251299
0.14157,1.0,4.98390786915469,368.18785156629974,82042.38564776084,5.136735350945331,0.43531308898723553,2.2360881329299436,80411.21137515263,1953.3087783437902,322.13450572572066
0.14256,1.0,4.985369245315818,368.24182743489393,82061.17028210722,5.143337282216013,0.435369892269398,2.2392541984635637,80432.19819523662,1953.8185796413768,324.84649271514587
0.14355,1.0,4.9868347650676785,368.2959484026954,82080.00813368424,5.149956291813965,0.4354268490538147,2.2424292409094226,80453.24447848527,1954.3298253883083,327.5661701611205
0.14454,1.0,4.98830444609642,368.3502150587435,82098.89942956442,5.156592446448006,0.43548395996678124,2.24561329851397,80474.35047862856,1954.842521748064,330.2935708197522
0.14553,1.0,4.989778306240663,368.4046279971874,82117.84439888153,5.163245813203397,0.43554122564026854,2.2488064097645926,80495.51645167597,1955.356674939499,333.02872763695075
0.14652,1.0,4.991256363186556,368.4591878060233,82136.84326830134,5.169916459385965,0.43559864669860593,2.2520086132533743,80516.74265099566,1955.8722911173054,335.7716737293288
0.14751,1.0,4.992738634925185,368.51389508397784,82155.89626881157,5.176604452760522,0.43565622377843805,2.2552199478842967,80538.02933469221,1956.3893765512296,338.5224424158311
0.1485,1.0,4.994225139600104,368.5687504348718,82175.00363345657,5.183309861474243,0.4357139575220594,2.25844045280606,80559.37676314564,1956.9079375662932,341.28106720915383
0.14949,1.0,4.995715895202395,368.6237544563632,82194.16559280873,5.19003275390036,0.4357718485641041,2.2616701672754083,80580.78519409116,1957.4279804232692,344.0475817961865
0.15048,1.0,4.997210920180539,368.67890776244667,82213.38238402073,5.196773198956606,0.4358298975581416,2.2649091309341536,80602.25489245525,1957.9495115576194,346.8220200809758
0.15147,1.0,4.9987102328305575,368.73421096094563,82232.65424177074,5.203531265790719,0.43588810515006576,2.2681573835346396,80623.78612051716,1958.4725373404995,349.6044161443501
0.15246,1.0,5.000213851600942,368.7896646647593,82251.98140278757,5.21030702394067,0.4359464719913892,2.2714149650788897,80645.37914282641,1958.9970641982145,352.3948042660639
0.15345,1.0,5.001721795092635,368.84526949185573,82271.36410584878,5.217100543336804,0.4360049987392314,2.2746819158200067,80667.03422620076,1959.5230986121658,355.1932189262735
0.15444,1.0,5.003234081906594,368.9010260596457,82290.80258951632,5.223911894224447,0.4360636860496657,2.277958276194204,80688.75163726628,1960.0506470591017,357.99969479612054
0.15543,1.0,5.0047507309487,368.9569349962197,82310.29709666093,5.230741147325023,0.4361225345910008,2.281244086960829,80710.53164737378,1960.5797161305388,360.814266760801
0.15642,1.0,5.006271760972375,369.01299692348044,82329.84786767187,5.237588373599408,0.4361815450238382,2.2845393889954817,80732.37452522064,1961.1103123535397,363.6369698882628
0.15741,1.0,5.007797191112205,369.069212476809,82349.45514837513,5.244453644528761,0.43624071802431674,2.2878442235344716,80754.28054545545,1961.6424423997298,366.4678394689487
0.15839999999999999,1.0,5.009327040502772,369.12558229100756,82369.11918437478,5.251337031917568,0.4363000542674941,2.291158632002536,80776.24998252938,1962.1761129359372,369.30691098984363
0.15939,1.0,5.010861328202437,369.18210699749017,82388.84021992049,5.2582386078555015,0.43635955442402236,2.294482655979018,80798.28310946573,1962.711330594311,372.1542201299381
0.16038,1.0,5.0124000737269405,369.2387872439362,82408.61850582452,5.265158444999321,0.4364192191833775,2.2978163374433698,80820.38020646345,1963.2481021813005,375.009802801073
0.16136999999999999,1.0,5.013943296439577,369.2956236718173,82428.45429041045,5.272096616255356,0.43647904922729247,2.301159718497564,80842.5415510617,1963.7864344387478,377.87369510437344
0.16236,1.0,5.015491016008564,369.3526169332403,82448.34782629821,5.279053195021683,0.4365390452496626,2.3045128415769462,80864.7674255134,1964.326334222999,380.7459333657015
0.16335,1.0,5.017043251949654,369.40976767409734,82468.29936361614,5.2860282549498825,0.43659920793662765,2.3078757492417528,80887.05810940904,1964.8678083257275,383.6265541026804
0.16433999999999999,1.0,5.0186000242360045,369.46707655651716,82488.30915904781,5.293021870268161,0.4366595379931044,2.3112484844586927,80909.41388950821,1965.410863712752,386.51559407241416
0.16533,1.0,5.0201613526120585,369.52454423359757,82508.3774656506,5.300034115422313,0.43672003611291993,2.31463109028694,80931.83504867581,1965.955507255285,389.4130902207055
0.16632,1.0,5.0217272571272105,369.58217136904767,82528.5045407719,5.307065065359047,0.4367807030020248,2.318023610125011,80954.32187448491,1966.5017459389062,392.3190797243053
0.16731,1.0,5.023297758059547,369.6399586343712,82548.69064491517,5.31411479548843,0.4368415393751593,2.3214260876774753,80976.87465798498,1967.0495868336448,395.2335999869544
0.1683,1.0,5.024872875687155,369.6979067004446,82568.9360383463,5.321183381565384,0.4369025459458984,2.324838566850921,80999.49369001399,1967.5990370043899,398.15668862310787
0.16929,1.0,5.026452630135651,369.7560162319062,82589.24097882994,5.328270899610859,0.43696372342001844,2.3282610916844924,81022.1792587391,1968.1501034511537,401.0883834469861
0.17028,1.0,5.028037042216757,369.8142879179978,82609.60573406683,5.335377426358354,0.4370250725319417,2.3316937067395442,81044.93166317287,1968.7027934373994,404.0287225407611
0.17127,1.0,5.029626132361027,369.8727224332986,82630.03056586105,5.342503038690946,0.4370865939983305,2.3351364566071564,81067.75119596756,1969.2571140720881,406.9777441713544
0.17226,1.0,5.031219921303951,369.9313204629576,82650.5157402949,5.349647814007062,0.43714828854790233,2.338589386227214,81090.63815447307,1969.813072578295,409.93548684651836
0.17325,1.0,5.032818430085946,369.99008270268234,82671.06152772682,5.356811830223354,0.4372101569214137,2.3420525408904376,81113.59284073496,1970.370676293158,412.9019893169515
0.17424,1.0,5.034421679518735,370.04900983911523,82691.6681948754,5.363995165493315,0.43727219984846755,2.345525965991807,81136.615552892,1970.9299324589172,415.8772905343461
0.17523,1.0,5.036029690795205,370.1081025722479,82712.33601386216,5.371197898533964,0.43733441807399753,2.3490097073156297,81159.7065950041,1971.4908484616399,418.86142970274517
0.17622,1.0,5.037642485260712,370.1673616070052,82733.0652588179,5.378420108506899,0.43739681234831934,2.3525038109310192,81182.86627336436,1972.0534317416452,421.8544462617601
0.17721,1.0,5.039260084108141,370.2267876420363,82753.85620135898,5.385661874857883,0.4374593834138831,2.356008323050987,81206.09489158324,1972.6176896740888,424.85637986259593
0.1782,1.0,5.040882508835319,370.2863813865164,82774.70911736849,5.392923277563225,0.43752213202512363,2.35952329024738,81229.39275795853,1973.1836297479824,427.86727040775185
0.17919,1.0,5.042509781244993,370.3461435601346,82795.62428699354,5.400204397132773,0.43758505894844335,2.3630487594529876,81252.76018547299,1973.7512595661476,430.88715805321317
0.18018,1.0,5.044141922987458,370.40607487628876,82816.60198786164,5.407505314367734,0.4376481649423513,2.3665847777490514,81276.19748442211,1974.320586666126,433.9160831713091
0.18117,1.0,5.045778955865465,370.46617605328106,82837.64249960025,5.414826110526054,0.4377114507706894,2.3701313925093683,81299.70496732628,1974.891618639507,436.95408637802655
0.18216,1.0,5.047420901986705,370.52644781990716,82858.746106095,5.422166867406935,0.4377749172092329,2.3736886514737168,81323.28295138577,1975.4643631915592,440.00120854809546
0.18315,1.0,5.049067783611331,370.5868909098489,82879.91309322695,5.429527667271911,0.43783856503906116,2.3772566026782145,81346.93175602166,1976.038828081499,443.0574908038521
0.18414,1.0,5.050719622770804,370.6475060476812,82901.14374322059,5.43690859264235,0.4379023950300226,2.3808352942773947,81370.65169673348,1976.6150209732846,446.12297448339257
0.18513,1.0,5.052376442106438,370.7082939796399,82922.4383470724,5.444309726752878,0.43796640797708264,2.3844247749406504,81394.44309860768,1977.1929497637518,449.19770121585447
0.18612,1.0,5.054038263954631,370.7692554400458,82943.79719098883,5.451731153061949,0.43803060466065213,2.38802509342304,81418.30628157775,1977.7726222245624,452.2817128427232
0.18711,1.0,5.055705111261634,370.8303911848602,82965.22056994321,5.459172955747184,0.43809498588622664,2.3916362989985327,81442.24157515955,1978.3540463601528,455.37505150075435
0.1881,1.0,5.057377006592535,370.8917019553241,82986.7087729852,5.4666352191737575,0.4381595524414273,2.395258440993717,81466.24930248469,1978.9372300198727,458.47775953533437
0.18909,1.0,5.059053973122297,370.9531885143009,83008.26209792726,5.474118028431836,0.4382243051389317,2.39889156925804,81490.32979626344,1979.5221812857535,461.58987959122857
0.19008,1.0,5.060736033873399,371.0148516183098,83029.88084004352,5.481621468927742,0.4382892447834317,2.402535733804985,81514.4833865022,1980.1089081741443,464.7114545458087
0.19107,1.0,5.062423212020807,371.07669202870443,83051.56529658787,5.489145626551216,0.438354372184836,2.4061909849579965,81538.71040541431,1980.697418755005,467.84252753825274
0.19206,1.0,5.064115531044408,371.13871051725107,83073.31576905023,5.496690587760963,0.4384196881648562,2.4098573734248614,81563.01118987321,1981.2877212114968,470.9831419856426
0.19305,1.0,5.06581301442409,371.20090785494483,83095.13255863634,5.504256439422241,0.4384851935437921,2.4135349501547254,81587.38607649949,1981.8798237206377,474.1333415568115
0.19404,1.0,5.067515685792213,371.2632848175916,83117.01596852452,5.511843268892195,0.4385508891471216,2.417223766412249,81611.83540411442,1982.4737345129026,477.2931701882024
0.19503,1.0,5.0692235690860645,371.3258421913845,83138.96630612288,5.519451164105733,0.4386167758120848,2.4209238738523147,81636.35951619367,1983.0694619318322,480.46267210028356
0.19602,1.0,5.070936688242938,371.3885807617244,83160.98387854845,5.527080213412646,0.4386828543744746,2.4246353243765397,81660.95875595402,1983.6670143146744,483.64189177089287
0.19701,1.0,5.0726550673525885,371.45150131879996,83183.06899488436,5.534730505663277,0.43874912567522373,2.4283581702077517,81685.63346880712,1984.266400051997,486.8308739514115
0.198,1.0,5.0743787306572425,371.5146046575787,83205.22196617778,5.542402130211429,0.4388155905603925,2.4320924638919057,81710.3840023576,1984.8676275876358,490.0296636687679
0.19899,1.0,5.07610770239912,371.5778915722194,83227.44310317852,5.55009517683397,0.43888224987456287,2.4358382582268527,81735.21070394559,1985.470705359004,493.23830621264176
0.19998,1.0,5.0778420074303146,371.6413628783865,83249.73272537162,5.557809736067119,0.4389491044871933,2.4395956065568662,81760.11393046538,1986.0756420355985,496.4568471966688
0.20097,1.0,5.079581670297989,371.70501937975666,83272.09114742339,5.565545898709586,0.4390161552530541,2.443364562335886,81785.09403363288,1986.6824461611245,499.68533247187366
0.20196,1.0,5.081326716006696,371.7688618959126,83294.51869047097,5.5733037562423275,0.43908340304516824,2.4471451794953,81810.15137225794,1987.2911264516113,502.92380820280613
0.20295,1.0,5.0830771694085275,371.8328912400192,83317.01567308749,5.581083400497662,0.4391508487284431,2.4509375121527737,81835.28630242354,1987.9016915568486,506.1723208098142
0.20394,1.0,5.084833055660512,371.897108235552,83339.58241805437,5.588884923912815,0.4392184931794236,2.454741614834184,81860.4991848481,1988.5141502392269,509.43091701603896
0.20493,1.0,5.0865944002246,371.9615137162837,83362.21925235816,5.596708419533409,0.4392863372862713,2.4585575424760675,81885.79038488248,1989.1285113736647,512.6996438499818
0.20592,1.0,5.088361228486529,372.0261085123376,83384.92650154358,5.6045539808071245,0.43935438193229076,2.462385350243674,81911.16026637213,1989.7447837985153,515.9785486094477
0.20691,1.0,5.090133566136949,372.0908934641172,83407.70449535563,5.612421701796248,0.43942262801237525,2.4662250937169947,81936.60919779055,1990.3629764645493,519.2676789018648
0.2079,1.0,5.091911439018984,372.15586941672217,83430.55356547936,5.620311677097144,0.4394910764264089,2.470076828819339,81962.13754978294,1990.983098375296,522.5670826312638
0.20889,1.0,5.093694872975767,372.2210372143693,83453.47404328,5.628224001759182,0.439559728072674,2.473940611745363,81987.7456927101,1991.605158527373,525.8768079847088
0.20988,1.0,5.09548389423159,372.2863977143125,83476.46626544402,5.636158771498265,0.4396285838642856,2.4778164991480542,82013.43400278108,1992.2291660594615,529.1969034735987
0.21087,1.0,5.0972785291632094,372.35195177847436,83499.53057059036,5.644116082574111,0.43969764471930484,2.481704548030186,82039.20285836988,1992.855130162833,532.5274179126843
0.21186,1.0,5.099078803994917,372.41770026230193,83522.66729475331,5.652096031624468,0.43976691154757486,2.4856048155977963,82065.05263510536,1993.483059962076,535.8684003902421
0.21285,1.0,5.100884745560874,372.4836440426019,83545.87678266657,5.660098716090439,0.43983638528358693,2.48951735963349,82090.98371813867,1994.1129648130868,539.219900349953
0.21384,1.0,5.102696380619011,372.5497839924714,83569.15937760267,5.668124233840044,0.43990606685687217,2.493442238164696,82116.99649109818,1994.7448540347752,542.5819675216195
0.21483,1.0,5.104513736079719,372.61612098964315,83592.51542475638,5.676172683297995,0.43997595720185273,2.497379509577044,82143.09133976811,1995.3787369984173,545.9546519471833
0.21582,1.0,5.106336839005853,372.682655916477,83615.94527124212,5.68424416344903,0.4400460572578273,2.5013292326165626,82169.2686520862,1996.0146231276017,549.3380039830129
0.21681,1.0,5.108165716841449,372.74938966829626,83639.44926947678,5.692338773968704,0.4401163679788101,2.5052914665040587,82195.52882182188,1996.6525219875773,552.7320743269534
0.2178,1.0,5.110000396954296,372.8163231366847,83663.02777040597,5.700456614972294,0.4401868903138038,2.5092662707134066,82221.87224121268,1997.2924431063827,556.1369139715803
0.21879,1.0,5.11184090716959,372.8834572289482,83686.68113139998,5.708597787315499,0.44025762522977535,2.513253705235472,82248.29930954915,1997.9343961833824,559.5525742642341
0.21978,1.0,5.11368727500759,372.9507928402974,83710.40970496881,5.71676239217266,0.4403285736788067,2.5172538302060303,82274.8104209063,1998.5783907912482,562.9791068264087
0.22077,1.0,5.115539528827127,373.0183308955444,83734.21385568198,5.724950531678699,0.440399736647321,2.5212667064702394,82301.40598253945,1999.2244368228223,566.4165636812936
0.22176,1.0,5.117397696529627,373.08607230182935,83758.09394098693,5.733162308208696,0.44047111510026454,2.525292394947491,82328.08639403053,1999.8725439845489,569.8649971140184
0.22275,1.0,5.119261806702619,373.15401799030815,83782.05032812848,5.7413978250208055,0.4405427100303206,2.529330957196854,82354.85206568349,2000.5227222433252,573.324459800194
0.22374,1.0,5.121131887781164,373.2221688855683,83806.0833817364,5.7496571857906345,0.44061452242179566,2.533382455006186,82381.70340503009,2001.1749814987086,576.7950047155864
